customer_id,name,email,signup_date,region,is_active
CUS000001,Customer 1,cus000001@example.com,2023-05-22,Central,False
CUS000002,Customer 2,cus000002@example.com,2023-05-11,Central,False
CUS000003,Customer 3,cus000003@example.com,2024-03-24,South,True
CUS000004,Customer 4,cus000004@example.com,2023-12-08,North,False
CUS000005,Customer 5,cus000005@example.com,2022-04-14,North,False
CUS000006,Customer 6,cus000006@example.com,2024-01-23,East,False
CUS000007,Customer 7,cus000007@example.com,2023-10-25,West,False
CUS000008,Customer 8,cus000008@example.com,2022-07-05,North,True
CUS000009,Customer 9,cus000009@example.com,2023-07-28,Central,False
CUS000010,Customer 10,cus000010@example.com,2023-09-22,West,False
CUS000011,Customer 11,cus000011@example.com,2021-03-10,East,False
CUS000012,Customer 12,cus000012@example.com,2023-06-17,Central,False
CUS000013,Customer 13,cus000013@example.com,2023-05-22,West,True
CUS000014,Customer 14,cus000014@example.com,2023-01-29,North,True
CUS000015,Customer 15,cus000015@example.com,2023-07-10,North,True
CUS000016,Customer 16,,2024-04-04,Central,True
CUS000017,Customer 17,cus000017@example.com,2021-09-05,Central,True
CUS000018,Customer 18,cus000018@example.com,2023-01-02,South,True
CUS000019,Customer 19,cus000019@example.com,2023-10-05,South,True
CUS000020,Customer 20,cus000020@example.com,2023-10-31,East,True
CUS000021,Customer 21,cus000021@example.com,2021-10-05,Central,False
CUS000022,Customer 22,cus000022@example.com,2021-11-01,Central,True
CUS000023,Customer 23,cus000023@example.com,2023-03-09,North,True
CUS000024,Customer 24,cus000024@example.com,2021-02-22,North,False
CUS000025,Customer 25,cus000025@example.com,2022-10-30,North,False
CUS000026,Customer 26,cus000026@example.com,2021-12-16,South,True
CUS000027,Customer 27,cus000027@example.com,2022-04-23,North,False
CUS000028,Customer 28,cus000028@example.com,2021-12-22,North,True
CUS000029,Customer 29,cus000029@example.com,2022-01-22,West,True
CUS000030,Customer 30,cus000030@example.com,2023-11-25,South,True
CUS000031,Customer 31,cus000031@example.com,2022-07-13,West,False
CUS000032,Customer 32,cus000032@example.com,2022-01-19,East,True
CUS000033,Customer 33,cus000033@example.com,2023-05-02,East,False
CUS000034,Customer 34,cus000034@example.com,2023-06-30,North,False
CUS000035,Customer 35,cus000035@example.com,2022-04-19,North,True
CUS000036,Customer 36,cus000036@example.com,2023-04-16,Central,True
CUS000037,Customer 37,cus000037@example.com,2021-11-18,East,True
CUS000038,Customer 38,cus000038@example.com,2024-02-13,Central,True
